"speciesname","sub_unit","speciescode","euringcode","codeeco","typeasso","season","region"
"Mergus merganser merganser","other populations","A654-B",2230,"coastal","P","W","EU27"
"Mergus serrator","","A069",2210,"riversLakes","P","B","EU27"
"Mergus serrator","","A069",2210,"coastal","P","W","EU27"
"Miliaria calandra","","A746",18820,"cropland","P","B","EU27"
"Milvus migrans","","A073",2380,"woodlandForest","P","B","EU27"
"Milvus milvus","","A074",2390,"riversLakes","P","B","EU27"
"Milvus milvus","","A074",2390,"riversLakes","P","W","EU27"
"Monticola saxatilis","","A280",11620,"heathlandShrub","P","B","EU27"
"Monticola solitarius","","A281",11660,"sparselyVegetated","P","B","EU27"
"Montifringilla nivalis","","A358",16110,"sparselyVegetated","P","B","EU27"
"Morus bassanus","","A016",710,"sparselyVegetated","P","B","EU27"
"Morus bassanus","","A016",710,"coastal","P","W","EU27"
"Motacilla alba","","A262",10200,"riversLakes","P","B","EU27"
"Motacilla alba","","A262",10200,"riversLakes","P","W","EU27"
"Motacilla cinerea","","A261",10190,"riversLakes","P","B","EU27"
"Motacilla cinerea","","A261",10190,"riversLakes","P","W","EU27"
"Motacilla citreola","","A608",10180,"wetlands","P","B","EU27"
"Motacilla flava","","A260",10170,"grassland","P","B","EU27"
"Muscicapa striata","","A319",13350,"urban","P","B","EU27"
"Myiopsitta monachus","","A761-X",20390,"urban","P","B","EU27"
"Neophron percnopterus","","A077",2470,"sparselyVegetated","P","B","EU27"
"Netta rufina","South-west & Central Europe/West Mediterranean","A058-A",1960,"riversLakes","P","B","EU27"
"Netta rufina","Black Sea & East Mediterranean","A058-B",1960,"riversLakes","P","B","EU27"
"Netta rufina","Black Sea & East Mediterranean","A058-B",1960,"riversLakes","P","W","EU27"
"Netta rufina","","A058-X",1960,"riversLakes","P","B","EU27"
"Netta rufina","South-west & Central Europe/West Mediterranean","A058-A",1960,"riversLakes","P","W","EU27"
"Nucifraga caryocatactes","","A344",15570,"woodlandForest","P","B","EU27"
"Numenius arquata arquata","Europe/Europe, North & West Africa","A768",5410,"cropland","P","B","EU27"
"Numenius arquata arquata","Europe/Europe, North & West Africa","A768",5410,"marineInlets","P","W","EU27"
"Numenius arquata orientalis","Western Siberia/SW Asia, E & S Africa","A730",5410,"marineInlets","P","W","EU27"
"Numenius phaeopus","","A158",5380,"heathlandShrub","P","B","EU27"
"Numenius phaeopus","","A158",5380,"marineInlets","P","W","EU27"
"Numenius tenuirostris","Central Siberia/Mediterranean & SW Asia","A159",5400,"marineInlets","P","W","EU27"
"Numida meleagris","","A757-X",3980,"heathlandShrub","P","B","EU27"
"Nycticorax nycticorax nycticorax","C & E Europe/Black Sea & E Mediterranean (bre)","A610-A",1040,"woodlandForest","P","B","EU27"
"Nycticorax nycticorax nycticorax","W Europe, NW Africa (bre)","A610-B",1040,"riversLakes","P","B","EU27"
"Oceanodroma castro","","A390",580,"sparselyVegetated","P","B","EU27"
"Oceanodroma leucorhoa","","A015",550,"sparselyVegetated","P","B","EU27"
"Oceanodroma monteiroi","","A630",580,"sparselyVegetated","P","B","EU27"
"Oenanthe cypriaca","","A467",11470,"heathlandShrub","P","B","EU27"
"Oenanthe hispanica","","A278",11480,"heathlandShrub","P","B","EU27"
"Oenanthe isabellina","","A435",11440,"heathlandShrub","P","B","EU27"
"Oenanthe leucura","","A279",11580,"sparselyVegetated","P","B","EU27"
"Oenanthe oenanthe","","A277",11460,"cropland","P","B","EU27"
"Oenanthe pleschanka","","A533",11470,"wetlands","P","B","EU27"
"Oriolus oriolus","","A337",15080,"woodlandForest","P","B","EU27"
"Otis tarda","","A129",4460,"cropland","P","B","EU27"
"Otis tarda","","A129",4460,"cropland","P","W","EU27"
"Otus scops","","A214",7390,"cropland","P","B","EU27"
"Oxyura jamaicensis","","A750-X",2250,"riversLakes","P","B","EU27"
"Oxyura leucocephala","West Mediterranean (Spain & Morocco)","A071-A",2260,"riversLakes","P","B","EU27"
"Oxyura leucocephala","East Mediterranean, Turkey & South-west Asia","A071-B",2260,"riversLakes","P","W","EU27"
"Oxyura leucocephala","West Mediterranean (Spain & Morocco)","A071-A",2260,"riversLakes","P","W","EU27"
"Pandion haliaetus","","A094",3010,"riversLakes","P","B","EU27"
"Pandion haliaetus","","A094",3010,"riversLakes","P","W","EU27"
"Panurus biarmicus","","A323",13640,"riversLakes","P","B","EU27"
"Parus ater all others","","A656",14610,"woodlandForest","P","B","EU27"
"Parus ater cypriotes","","A470",14610,"woodlandForest","P","B","EU27"
"Parus caeruleus","","A329",14620,"urban","P","B","EU27"
"Parus cinctus","","A537",14480,"woodlandForest","P","B","EU27"
"Parus cristatus","","A327",14540,"woodlandForest","P","B","EU27"
"Parus lugubris","","A443",14410,"woodlandForest","P","B","EU27"
"Parus major","","A330",14640,"urban","P","B","EU27"
"Parus montanus","","A326",14420,"woodlandForest","P","B","EU27"
"Parus palustris","","A325",14400,"woodlandForest","P","B","EU27"
"Passer domesticus","","A620",15911,"cropland","P","B","EU27"
"Passer hispaniolensis all others","","A771",15920,"cropland","P","B","EU27"
"Passer hispaniolensis italiae","","A744",15912,"cropland","P","B","EU27"
"Passer montanus","","A356",15980,"cropland","P","B","EU27"
"Pavo cristatus","","A756-X",,"woodlandForest","P","B","EU27"
"Pelagodroma marina","","A389",510,"sparselyVegetated","P","B","EU27"
"Pelecanus crispus","Black Sea & Mediterranean (win)","A020",890,"riversLakes","P","B","EU27"
"Pelecanus crispus","Black Sea & Mediterranean (win)","A020",890,"riversLakes","P","W","EU27"
"Pelecanus onocrotalus","Europe & Western Asia (bre)","A019",880,"riversLakes","P","B","EU27"
"Pelecanus onocrotalus","Europe & Western Asia (bre)","A019",880,"riversLakes","P","W","EU27"
"Perdix perdix all others","","A644",3670,"cropland","P","B","EU27"
"Perdix perdix hispaniensis","","A415",3670,"heathlandShrub","P","B","EU27"
"Perdix perdix italica","","A414",3670,"grassland","P","B","EU27"
"Perisoreus infaustus","","A548",15430,"woodlandForest","P","B","EU27"
"Pernis apivorus","","A072",2310,"woodlandForest","P","B","EU27"
"Petronia petronia","","A357",16040,"sparselyVegetated","P","B","EU27"
"Phalacrocorax aristotelis aristotelis","","A684",801,"sparselyVegetated","P","B","EU27"
"Phalacrocorax aristotelis aristotelis","","A684",801,"coastal","P","W","EU27"
"Phalacrocorax aristotelis desmarestii","","A392",802,"riversLakes","P","B","EU27"
"Phalacrocorax aristotelis desmarestii","","A392",802,"coastal","P","W","EU27"
"Phalacrocorax carbo carbo","North-west Europe","A683",721,"coastal","P","W","EU27"
"Phalacrocorax carbo carbo","North-west Europe","A683",721,"coastal","P","B","EU27"
"Phalacrocorax carbo sinensis","","A391",722,"riversLakes","P","B","EU27"
"Phalacrocorax carbo sinensis","","A391",722,"coastal","P","W","EU27"
"Phalacrocorax pygmeus","Black Sea & Mediterranean","A393",820,"riversLakes","P","B","EU27"
"Phalacrocorax pygmeus","Black Sea & Mediterranean","A393",820,"marineInlets","P","W","EU27"
"Phalaropus lobatus","","A170",5640,"riversLakes","P","B","EU27"
"Phasianus colchicus","","A115-X",3940,"cropland","P","B","EU27"
"Philomachus pugnax","","A151",5170,"grassland","P","B","EU27"
"Philomachus pugnax","","A151",5170,"sparselyVegetated","P","W","EU27"
"Phoenicopterus roseus","West Mediterranean","A663-A",1472,"riversLakes","P","B","EU27"
"Phoenicopterus roseus","West Mediterranean","A663-A",1472,"marineInlets","P","W","EU27"
"Phoenicopterus roseus","East Mediterranean","A663-B",1472,"marineInlets","P","W","EU27"
"Phoenicurus ochruros","","A273",11210,"urban","P","B","EU27"
"Phoenicurus ochruros","","A273",11210,"urban","P","W","EU27"
"Phoenicurus phoenicurus","","A274",11220,"woodlandForest","P","B","EU27"
"Phylloscopus bonelli","","A313",13070,"woodlandForest","P","B","EU27"
