"measurehash","specieshash","measurecode","type_legal","type_administrative","type_contractual","type_recurrent","type_oneoff","rankingcode","location_inside","location_outside","location_both","broad_evaluation_maintain","broad_evaluation_enhance","broad_evaluation_longterm","broad_evaluation_noeffect","broad_evaluation_unknown","broad_evaluation_notevaluated"
"5df27fa410d9c27f43444bb3b0a53e96","b4014657da938fa85ab737d79dc7db9a","6.3",True,True,False,False,False,"H",False,False,True,True,True,True,False,False,False
"39d14082c74ea04be1ed90b7c9fe9b7f","637484371930b8ae5035c6f0c155fb41","6.3",True,True,False,False,False,"H",False,False,True,True,True,True,False,False,False
"c39c075729ca368ba9acb1f06888785a","637484371930b8ae5035c6f0c155fb41","4.2",False,True,True,False,False,"H",True,False,False,False,False,True,False,False,False
"21cb2b6449cb7b55a091e59a8a16dd56","637484371930b8ae5035c6f0c155fb41","6.1",True,True,False,False,False,"H",True,False,False,True,True,True,False,False,False
"2c02cc9c6d1707ef2ff123e18ecf437d","329d5525391de20b3cc01d9047647347","3.2",True,True,False,False,False,"H",True,False,False,False,False,True,False,False,False
"b460c13990740cb9236a70efe18d4d04","329d5525391de20b3cc01d9047647347","3.1",False,True,True,False,False,"M",True,False,False,False,False,True,False,False,False
"a10aaf549b519e3da45726bff6703c03","329d5525391de20b3cc01d9047647347","3.0",False,True,True,False,False,"M",True,False,False,False,False,True,False,False,False
"459a68f843e974658c16964d7bc7b3e7","329d5525391de20b3cc01d9047647347","6.1",True,True,False,False,False,"H",True,False,False,True,True,True,False,False,False
"e4dbce6ee0cde06153446593f0752601","329d5525391de20b3cc01d9047647347","6.3",True,True,False,False,False,"H",False,False,True,True,True,True,False,False,False
"fb21e9149867acf3a646cb665e12f73e","cb3561a38a85f7e14ab827d6d4de7f58","3.2",True,True,False,False,False,"H",True,False,False,False,False,True,False,False,False
"ae16f094ae23058f7c76e723390e0a69","cb3561a38a85f7e14ab827d6d4de7f58","3.1",False,True,True,False,False,"H",True,False,False,False,False,True,False,False,False
"d047084c5db0168ec7a761186d336d7c","cb3561a38a85f7e14ab827d6d4de7f58","3.0",False,True,True,False,False,"H",True,False,False,False,False,True,False,False,False
"def58866e96e3c3a72be25d9c3d303b6","cb3561a38a85f7e14ab827d6d4de7f58","6.1",True,True,False,False,False,"H",True,False,False,True,True,True,False,False,False
"b192ef875bd4f32477aba693181f260b","cb3561a38a85f7e14ab827d6d4de7f58","6.3",True,True,False,False,False,"H",False,False,True,True,True,True,False,False,False
"83cd382aa43f5188797f827bfc1df2d5","0b9dd02d5a334468a43e27c2ff5d9eae","4.2",False,True,True,False,False,"H",True,False,False,False,False,True,False,False,False
"f5b3e7574be071c779a9ea139f98947a","0b9dd02d5a334468a43e27c2ff5d9eae","4.1",False,True,True,False,False,"M",True,False,False,False,False,True,False,False,False
"dbd282aac3c02220790ad97b889cf1e2","0b9dd02d5a334468a43e27c2ff5d9eae","4.3",False,True,False,False,False,"H",True,False,False,False,False,True,False,False,False
"7ab00a07362948fd9d039a29c1425134","0b9dd02d5a334468a43e27c2ff5d9eae","6.1",True,True,False,False,False,"H",True,False,False,True,True,True,False,False,False
"aed681e278bcd6b67da1b2eabb626487","0b9dd02d5a334468a43e27c2ff5d9eae","6.3",True,True,False,False,False,"H",False,False,True,True,True,True,False,False,False
"632f88582f4b7a293d4dd267ceb8e50e","ba137d6fc3fae834d81cfc5e9a07f24d","3.2",True,True,False,False,False,"H",True,False,False,False,False,True,False,False,False
"1c8174010fb0d1843fe298a23fd0ea00","ba137d6fc3fae834d81cfc5e9a07f24d","3.1",False,False,True,False,False,"H",True,False,False,False,False,True,False,False,False
"613c704f870c6ce625f71c9a5361615f","ba137d6fc3fae834d81cfc5e9a07f24d","3.0",True,True,False,False,False,"M",True,False,False,False,False,True,False,False,False
"783c53e72eb8a0b455a1bda0883ea163","ba137d6fc3fae834d81cfc5e9a07f24d","6.1",True,True,False,False,False,"H",True,False,False,True,True,True,False,False,False
"b2e17044771c7545ff11327390522ea9","ba137d6fc3fae834d81cfc5e9a07f24d","6.3",True,True,False,False,False,"H",False,False,True,True,True,True,False,False,False
"f0a6f58d124f7ecbb6afb1d49fe83372","5f33c9ec2585dabeec67c99a5e20c718","3.2",True,True,False,False,False,"H",True,False,False,False,False,True,False,False,False
"5f4eb7313e77ec2f2688fcf9438f22c8","5f33c9ec2585dabeec67c99a5e20c718","3.1",False,True,True,False,False,"H",True,False,False,False,False,True,False,False,False
"75bc91f7af69e74c006f98b92011394c","5f33c9ec2585dabeec67c99a5e20c718","3.0",False,True,True,False,False,"H",True,False,False,False,False,True,False,False,False
"b4fdcb6740b5d5e26f040698cff50b7e","5f33c9ec2585dabeec67c99a5e20c718","6.1",True,True,False,False,False,"H",True,False,False,True,True,True,False,False,False
"8424664a51ef41aeb24ce9fd9b3c4fff","5f33c9ec2585dabeec67c99a5e20c718","6.3",True,True,False,False,False,"H",False,False,True,True,True,True,False,False,False
"c467cc38bb873a230aa8a338cf81bc1b","a393ec39c7ae955453aa46d67257b129","3.1",False,False,True,False,False,"M",True,False,False,False,False,True,False,False,False
"51cc1cb04176bc58ffd40f348ff19735","a393ec39c7ae955453aa46d67257b129","3.2",True,True,False,False,False,"H",True,False,False,False,False,True,False,False,False
"409d9c58516cb8b9b5cf7ac3234ef1cc","a393ec39c7ae955453aa46d67257b129","3.0",False,True,True,False,False,"H",True,False,False,False,False,True,False,False,False
"5c304d0e624c3008d851903cf9372123","a393ec39c7ae955453aa46d67257b129","6.1",True,True,False,False,False,"H",True,False,False,True,True,True,False,False,False
"93ac238aaf2f1dc6274f1fa30ed20df7","a393ec39c7ae955453aa46d67257b129","6.3",True,True,False,False,False,"H",False,False,True,True,True,True,False,False,False
"7bdd2ac9f1e1ac0bffc233595351bb4b","4f2db8c3883b78708d92f1f1a366b984","3.1",False,True,False,False,False,"H",True,False,False,False,False,True,False,False,False
"a976d4ac64ff448f0cad73f6b9e1c7fe","4f2db8c3883b78708d92f1f1a366b984","3.2",True,True,False,False,False,"H",True,False,False,False,False,True,False,False,False
"657be639041c52e71aa4534ecdc16720","4f2db8c3883b78708d92f1f1a366b984","3.0",False,True,True,False,False,"M",True,False,False,False,True,False,False,False,False
"2befc3e80267966a909ec249b9f1a949","4f2db8c3883b78708d92f1f1a366b984","6.1",True,True,False,False,False,"H",True,False,False,True,True,True,False,False,False
"e34601cb2ea611a738f9fb33a07f75ff","4f2db8c3883b78708d92f1f1a366b984","6.3",True,True,False,False,False,"H",False,False,True,True,True,True,False,False,False
"e922ca245e15cf206401f6f0d50fa8b9","4f2db8c3883b78708d92f1f1a366b984","7.4",False,False,False,True,False,"L",False,False,True,True,True,False,False,False,False
"65fe0573be247f072c755d807bd16334","701931334e63e0bb0f5fdc11902112d7","3.2",True,True,False,False,False,"H",True,False,False,False,False,True,False,False,False
"81ac5cc048249249cb19a28eed9efe66","701931334e63e0bb0f5fdc11902112d7","3.1",False,True,True,False,False,"H",True,False,False,False,False,True,False,False,False
"c59a87c276cfa4944d00dd18fe0ea412","701931334e63e0bb0f5fdc11902112d7","3.0",True,True,True,False,False,"H",True,False,False,False,False,True,False,False,False
"196b594401b7caaaf8867b091d0dc246","701931334e63e0bb0f5fdc11902112d7","6.1",True,True,False,False,False,"H",True,False,False,True,True,True,False,False,False
"af74ad7c7785f15cb1631af5aff7b063","701931334e63e0bb0f5fdc11902112d7","6.3",True,True,False,False,False,"H",False,False,True,True,True,True,False,False,False
"90d13775f3881f63615c6d3cd0db74be","1f3ea4f43f7a729f5c8431db84f6354b","6.2",True,True,False,False,False,"H",False,False,True,True,False,True,False,False,False
"5bea3e4f940b3c6e550aa78efadc9d9c","1f3ea4f43f7a729f5c8431db84f6354b","6.1",True,True,False,False,False,"H",True,False,False,True,False,True,False,False,False
"2b42363659867ad11e4c4c5b8e2cb8a5","2e7800c4121ab5cc8ebab8affb8c235f","6.3",True,True,False,False,False,"H",False,False,True,True,False,True,False,False,False
"3aea02c978b1f91706873758927a0380","2e7800c4121ab5cc8ebab8affb8c235f","6.1",True,True,False,False,False,"H",False,False,True,False,False,False,False,True,False
"22a8fed9944255f797ea5da568462815","5e1c9851a421bb6f95606b8c02d2626c","6.1",True,True,False,False,False,"H",True,False,False,True,False,True,False,False,False
"4c79c59babe1f5147ad351b123ff1a9a","5e1c9851a421bb6f95606b8c02d2626c","6.3",True,True,False,False,False,"H",False,False,True,True,False,True,False,False,False
"9ec1d21ac76c26cb832f755f06775270","5e1c9851a421bb6f95606b8c02d2626c","9.1",True,True,False,False,False,"M",False,False,True,False,False,False,False,True,False
"69862201d2058ea98c5ccdf7f203b446","a7916ba69214ab85dc1c26c53679ce85","6.3",True,False,False,False,False,"H",False,False,True,False,False,False,False,True,False
"835bde1449b008ba07654ab4622bc74e","a7916ba69214ab85dc1c26c53679ce85","7.1",True,False,False,False,False,"H",False,False,True,False,False,False,False,True,False
"6f293791e38896393eeb29fd241a4ffc","3735022aa429ac89deac5c252e4696ed","6.1",True,True,False,False,False,"H",False,False,True,True,False,True,False,False,False
"1b6ec9807e6d0072906fe8589f5b98e3","3735022aa429ac89deac5c252e4696ed","6.3",True,True,False,False,False,"H",False,False,True,False,False,False,False,False,True
"0bec3547f5a5f0a8a1443ee8b25845fd","c8914fca643e5ff5b65efcc45bd9660d","6.3",True,True,False,False,False,"H",False,False,True,True,False,True,False,False,False
"dedd35e189d48fc4783be150a8e1a514","c8914fca643e5ff5b65efcc45bd9660d","6.1",True,True,False,False,False,"H",False,False,True,True,False,True,False,False,False
"f7d4c7c091211c4a80f6cd6a8e7a0164","605a7cf26b55cee3eb98e76c7c292fb9","6.1",True,True,False,False,False,"H",False,False,True,False,False,True,False,False,False
"eaf7376d864bc8d93401e9f237d556e1","605a7cf26b55cee3eb98e76c7c292fb9","6.3",True,True,False,False,False,"H",False,False,True,True,False,True,False,False,False
"5ad2f1337a47402abc8cf52f4fb233fe","605a7cf26b55cee3eb98e76c7c292fb9","7.1",False,True,False,False,False,"H",False,False,True,False,False,False,False,True,False
"39b129f6b2262c7ee1bf3172a384c2c8","0482de3afcecde0a2925e6e0c5243151","3.1",False,True,False,False,False,"H",False,False,True,True,True,True,False,False,False
"c8ace8404c97a85ec0bead48fdd0ae17","0482de3afcecde0a2925e6e0c5243151","6.1",False,True,False,False,False,"H",True,False,False,True,False,True,False,False,False
"c070835a24e356c43b3361261cf13d77","0482de3afcecde0a2925e6e0c5243151","7.1",True,True,False,False,False,"H",False,False,True,False,False,False,False,False,True
"d8e6453d878d4f5d8337148dd268285d","859bca7ccc5e84ed782950848ffd3085","6.1",False,True,False,False,False,"H",True,False,False,True,False,True,False,False,False
"965c24a54a18ce31c45a573e1d6952f9","859bca7ccc5e84ed782950848ffd3085","9.2",True,True,False,False,False,"H",False,False,True,False,False,True,False,False,False
"c34497d78e7d8e487308a07bfb76df11","859bca7ccc5e84ed782950848ffd3085","6.3",True,True,False,False,False,"H",False,False,True,False,False,True,False,False,False
"2a6a18c9f50df6ff910c7f70c1755fb2","c00be28de18b517052992323b1b92e0f","4.2",False,True,False,False,False,"H",False,False,True,True,True,True,False,False,False
"572997e407082507caa07412212c59ce","c00be28de18b517052992323b1b92e0f","6.1",False,True,False,False,False,"H",True,False,False,True,False,True,False,False,False
"e32797630c20c9353313a07d93926b98","c00be28de18b517052992323b1b92e0f","6.3",True,True,False,False,False,"H",False,False,True,False,False,False,False,False,True
"eed0c4e7a40cf70ae314beb9061faff9","9704f77c4237c55870ac220a4ffe7d4e","2.1",False,True,True,False,False,"H",False,False,True,True,False,True,False,False,False
"339ad55b565fa7f52730779e10a83994","9704f77c4237c55870ac220a4ffe7d4e","6.1",False,True,False,False,False,"H",True,False,False,True,False,True,False,False,False
"7255ac7770671e64410c9e1f0b552469","4d104d6b2078625a8772ea795a43205c","3.1",False,True,False,False,False,"H",False,False,True,True,False,True,False,False,False
"ec388e54cfaa5b5b693361e673085dea","4d104d6b2078625a8772ea795a43205c","6.1",False,True,False,False,False,"H",True,False,False,True,False,True,False,False,False
"a7d36b84f403c5f89472b9d87f5e90a9","4d104d6b2078625a8772ea795a43205c","6.3",True,True,False,False,False,"H",False,False,True,False,False,False,False,False,True
"0604b23b517c97b6f7a0045664ddfac1","6daf65d4d9766aec573251e35a2e967a","6.1",False,True,False,False,False,"H",True,False,False,True,False,True,False,False,False
"c053697093634ff648f8b791e49a8169","6daf65d4d9766aec573251e35a2e967a","9.2",True,True,False,False,False,"H",False,False,True,False,False,True,False,False,False
"cc62411c4fbf17665c89617162ee4e83","6daf65d4d9766aec573251e35a2e967a","6.3",True,True,False,False,False,"H",False,False,True,False,False,False,False,False,True
"fcc00f8195e6ebeb737ea2c162f4ad8d","194394f12483c4dc4b0eb8309c78dd0b","6.1",True,True,False,False,False,"H",False,False,True,False,False,False,False,False,True
"ed23c0f6c5d2b1829a3819d3f9d8e5ea","194394f12483c4dc4b0eb8309c78dd0b","6.3",True,True,False,False,False,"H",False,False,True,True,False,True,False,False,False
"21eb2f80c0885cb814c87a7a69c63d31","4974430c19c3e49499a24f74c5b9d5f6","6.1",True,False,False,False,False,"H",True,False,False,False,False,False,False,False,True
"36ff74b984c4ade777628fd672a1a271","4974430c19c3e49499a24f74c5b9d5f6","6.3",True,True,False,False,False,"H",True,False,False,True,False,True,False,False,False
"003067eec02c7ff8ec9388b17796845f","462906f8a94814f9c4b80fe165d9f417","6.1",True,False,False,False,False,"H",True,False,False,False,False,False,False,False,True
"b6a0c092cae212adede0bd3926452832","462906f8a94814f9c4b80fe165d9f417","6.3",True,True,False,False,False,"H",True,False,False,True,False,True,False,False,False
"97ddb4b6544144ce6b05649f6fbdb11a","9e5fd7f466cfb6dadb21f5a69aeb4dbc","6.1",True,False,False,False,False,"H",True,False,False,False,False,False,False,False,True
"f2cf2e2420ca5d5b8df81049df65a10c","9e5fd7f466cfb6dadb21f5a69aeb4dbc","6.3",True,True,False,False,False,"H",True,False,False,True,False,True,False,False,False
"1394dba4d41faa12b20f568588de956a","9352619df76270cf35502ff9823cf0e9","4.1",False,True,False,False,False,"H",False,False,True,True,True,True,False,False,False
"4e676a5ecc9451ddc54d4a707db90944","9352619df76270cf35502ff9823cf0e9","4.2",False,True,False,False,False,"H",False,False,True,True,True,True,False,False,False
"7413da13efe4ce63c62c73266eef61d0","9352619df76270cf35502ff9823cf0e9","4.3",False,True,False,False,False,"H",False,False,True,True,True,True,False,False,False
"1685271c44e38b37e3fd4393d5077154","9352619df76270cf35502ff9823cf0e9","6.3",True,False,False,False,False,"H",False,False,True,True,True,True,False,False,False
"627d873649b4beb1e075e04bcb318193","9352619df76270cf35502ff9823cf0e9","7.2",True,True,False,False,False,"M",False,False,True,True,False,True,False,False,False
"377b06722fd32532de373f62315aece6","546a9c1af5404d6341e239e3e4c14d0f","4.1",False,True,False,False,False,"H",False,False,True,True,True,True,False,False,False
"539f376a1f946343c0aa70ddf996f0e3","546a9c1af5404d6341e239e3e4c14d0f","4.2",False,True,False,False,False,"H",False,False,True,True,True,True,False,False,False
"c233db68a2bf0b187215d5e099c71ed2","546a9c1af5404d6341e239e3e4c14d0f","4.3",False,True,False,False,False,"H",False,False,True,True,True,True,False,False,False
"759c4af83016eb0469798b280f8b7c1f","546a9c1af5404d6341e239e3e4c14d0f","6.3",True,False,False,False,False,"H",False,False,True,True,True,True,False,False,False
"7e53442b72d006374cb2caf5ec8e14be","546a9c1af5404d6341e239e3e4c14d0f","7.2",True,True,False,False,False,"M",False,False,True,True,False,True,False,False,False
"07440ba69e57910a5c5a94c7c73e3ac3","20cc1df2a996a10862eb1da645200afe","4.1",False,True,False,False,False,"H",False,False,True,True,True,True,False,False,False
"ac8a9dfc0e9483426f88a9269ecc0537","20cc1df2a996a10862eb1da645200afe","4.2",False,True,False,False,False,"H",False,False,True,True,True,True,False,False,False
"9e447c193d286034cbbf331db20483dd","20cc1df2a996a10862eb1da645200afe","4.3",False,True,False,False,False,"H",False,False,True,True,True,True,False,False,False
"bd3799f594a05f11d215df6de00de9dd","20cc1df2a996a10862eb1da645200afe","6.3",True,False,False,False,False,"H",False,False,True,True,True,True,False,False,False
"87bfce7781543fb2887e91ecd0306211","20cc1df2a996a10862eb1da645200afe","7.2",True,True,False,False,False,"M",False,False,True,True,False,True,False,False,False
"beb7d40754f6a0aea03e5697876912f6","1306455f5f177e1c20387aeda2169cdc","4.1",False,True,False,False,False,"H",False,False,True,True,True,True,False,False,False
"99d12908cf59b49eddafeadb9014cbf4","1306455f5f177e1c20387aeda2169cdc","4.2",False,True,False,False,False,"H",False,False,True,True,True,True,False,False,False
"593138436b25ecc3baeca180f7f13ca3","1306455f5f177e1c20387aeda2169cdc","4.3",False,True,False,False,False,"H",False,False,True,True,True,True,False,False,False
"b4b15c9d8ed755397025859cc6f661eb","1306455f5f177e1c20387aeda2169cdc","6.3",True,False,False,False,False,"H",False,False,True,True,True,True,False,False,False
"affa42c602bc3518c9679212698bfaed","1306455f5f177e1c20387aeda2169cdc","7.2",True,True,False,False,False,"M",False,False,True,True,False,True,False,False,False
"b1d136926d7f609755f1d86d2e31b1ad","273c268692703c5eb30b146575bd35f6","4.1",False,True,False,False,False,"H",False,False,True,True,True,True,False,False,False
"705f38e9689619ebce18998264b9893d","273c268692703c5eb30b146575bd35f6","4.2",False,True,False,False,False,"H",False,False,True,True,True,True,False,False,False
"2a586e12acb66b745d7ffc826f96fba8","273c268692703c5eb30b146575bd35f6","4.3",False,True,False,False,False,"H",False,False,True,True,True,True,False,False,False
"3ba32c9a13215ff4a66712f43f393141","273c268692703c5eb30b146575bd35f6","7.1",True,False,False,False,False,"M",False,False,True,False,False,True,False,False,False
"819e762ad1bf882a843e4924109a3b06","273c268692703c5eb30b146575bd35f6","7.2",True,True,False,False,False,"M",False,False,True,True,False,True,False,False,False
"20884a4defabebf678ca28259c356493","0df8855d71935cffa038c6e30afc04eb","4.1",False,True,False,False,False,"H",False,False,True,True,True,True,False,False,False
"754fe3cb346c23f7dde4efff9a4e72be","0df8855d71935cffa038c6e30afc04eb","4.2",False,True,False,False,False,"H",False,False,True,True,True,True,False,False,False
"7a64183cbb8d8b72c4ab3bac78ee67fc","0df8855d71935cffa038c6e30afc04eb","4.3",False,True,False,False,False,"H",False,False,True,True,True,True,False,False,False
"ebc4d429b43d94b4ac37198a07b52dbd","0df8855d71935cffa038c6e30afc04eb","7.1",True,False,False,False,False,"M",False,False,True,False,False,True,False,False,False
"c601583413d5754e5b2d5a096df2ea86","0df8855d71935cffa038c6e30afc04eb","7.2",True,True,False,False,False,"M",False,False,True,True,False,True,False,False,False
"ec8bef7402946a638ff4863c29a2b25a","722c812e444ac67025d1c72a11e4feda","4.1",False,True,False,False,False,"H",False,False,True,True,True,True,False,False,False
"167ec70ba7cacfcae124c8e582e05e83","722c812e444ac67025d1c72a11e4feda","4.2",False,True,False,False,False,"H",False,False,True,True,True,True,False,False,False
"46e66ca965443b0f01dcc80e786a3ffb","722c812e444ac67025d1c72a11e4feda","4.3",False,True,False,False,False,"H",False,False,True,True,True,True,False,False,False
"77bc69323855a6599397a6582d57ce21","722c812e444ac67025d1c72a11e4feda","7.1",True,False,False,False,False,"M",False,False,True,False,False,True,False,False,False
"bc728e692235489679897cfdc61f3541","722c812e444ac67025d1c72a11e4feda","7.2",True,True,False,False,False,"M",False,False,True,True,False,True,False,False,False
"cbc99829b09d8880649f8f2893fe1c45","c80a2f407c3e67c0fd9c1aab5ee953ce","4.1",False,True,False,False,False,"H",False,False,True,True,True,True,False,False,False
"81a1194bd49109702d73dc7980cd554f","c80a2f407c3e67c0fd9c1aab5ee953ce","4.2",False,True,False,False,False,"H",False,False,True,True,True,True,False,False,False
